17,Mỏng tè Chê,3
18,Các tấm gỗ quá mỏng nên khi lắp bị tét nếu không cẩn thận. Nếu dày 1cm thì tốt hơn,3
19,kệ khá đẹp và sẽ chắc chắn hơn nêu shop cho kình đủ ốc để lắp :)),3
20,,3
21,,3
22,,3
23,,3
24,,3
25,,3
26,,3
27,,3
28,tạm ổn nhưng kích thước khá nhỏ so với clip quảng cáo 20x30x30. mn cân nhắc kỹ trước khi mua. giá cao hơn so với chất lượng,3
29,Gỗ mỏng. tạm được,3
30,"Xin phép trừ 2*, 1* cho giao hàng, 1* cho sp vì bị sứt mẻ và chút lỗi",3
31,"Kệ nhỏ hơn so với ảnh nhiều mng nhé, cũng không được trắng trơn đẹp như trong hình đâu vì còn có lỗ đinh khắp bên dọc sườn. Nói chung là “gỗ” công nghiệp rẻ tiền, đựng cái gì nhẹ nhẹ thôi không là dễ bị uốn cong.",3
32,,3
33,,3
34,,3
35,nhận hàng xong mới phát hiện bị rách haizz.,3
36,áo sơ mi lại thành áo phông là sao ? bán hàng treo đầu dê bán thịt chó thế thì đi tù sớm thôi.,3
37,"đồ rẻ tiền nên chất lượng cũng rẻ. tiền nào của đó. tốt nhất nên mua ngoài cửa hàng để tận mắt nhìn, sờ tận tay",3
38,"Vừa vặn thoải mái và rộng rãi, Độc đáo và bắt mắt, In đồ họa sáng tạo, Tùy chọn màu trắng,",3
39,Kiểu dáng:good,3
40,Hơi mỏng với không giống trong ảnh lắm,3
41,no shipping updates. no communication from seller.,3
42,"chất vải áo quần đều ko tốt so với giá mua, luoi chụp nên ko chụp hinh",3
43,,3
44,,3
45,,3
46,,3
47,,3
48,,3
49,,3
50,,3
51,,3
52,chẳng thấy hiệu quả jjj ý cơ kem phake,3
53,,3
54,Mùi không được thơm lắm,3
55,nước hoa cũng thơm..... hàng nắp đậy không kín....cứ rơi nắp hoài... ham rẻ thì mua chơi,3
56,không giữ được mùi. sản phẩm nhìn chai lọ đẹp mắt mà chất lượng k tốt,3
57,🌸Mùi hương：,3
58,lọ nước hoa hắn bị bể còn được nữa lọ nựa,3
59,cồn nhiều mùi thơm nhẹ rats nòng nhưng ko thơm,3
60,nice,3
61,Mùi hương： Độ lưu hương：,3
62,Đáng tiền：,3
63,Mùi hương：,3
64,"mùi lưu chán quá,không thơm thế mà nhiều người mua thế. hay là thời gian trước mua được lượng tương tác nên cao vậy. đến chịu",3
65,hàng tạm thôi,3
66,Mũi ko thơm xịt dô la mất mùi lien buon cho 3 sao,3
67,mùi thơm ok mà không dữ được lâu,3
68,"Sự kết hợp độc đáo của các hương hoa,",3
69,"Mùi hương:ko thơm, mùi lạ",3
70,Không thơm,3
71,ko lau,3
72,ok...kkkkkkkkkkkk,3
73,"Nói thật là chê nha,đầu tiên là nắp lọ lỏng lẻo,tiếp theo là mới xịt vào thì có mùi thơm nhẹ sau vài phút thì ko thơm j lun,ko hề lưu hương đâu nha mng nên mng nên lưu ý trc khi mua đừng phạm sai lầm như mk",3
74,đóng gói ok nhưng nc hoa ko thơm,3
75,chai hồng bị móp méo ướt nhép luôn nắp chai kboong khít. Mấy cái còn lại thì ok,3
76,"mình không thích mùi màu xanh lắm, mùi nồng và hơi khó chịu. nhưng giao hàng nhanh, và shop đóng gói cẩn thận",3
77,"đặt hàng hôm qua, hôm nay giao ngoài hộp có bao đàng hoàng chai màu đen xịt phun sương ko được 🙂",3
78,Great product with its price. Though the scent don’t last. .,3
79,nước hoa mùi có thơm tí có nước nha tại sp quá rẽ làm sao thơm,3
80,Mùi hương:tạm mình mua combo đen hồng mà giao hồng vàng tạm được,3
81,"Hàng đúng như hình ảnh quảng cáo, giá rẻ, mùi thơm dễ chịu, mùi lưu không lâu- pha cồn nhiều.",3
82,"Hương thơm nhẹ ,lưu hương 3-4h ,dùng được ở nhà hoặc đi loanh quanh.",3
83,Độ lưu hương:Not much,3
84,"Mùi hương:mình thấy 2 mùi hao nhau, nhưng màu đen nồng hơn",3
85,mùi hương màu đen thì thơm nhẹ.mau Hồng mùi như cồn z chả giống nước hoa tí nào,3
86,Tiền nào của đó thôi 😀😀 thây nhiều người khen quá chắc người của shop 🤣🤣 thôi mn ko nên mua ạ 🤣/,3
87,hơi kém chúc moi thơm không tốt,3
88,"Mùi dễ chịu, màu đen mùi hơi gắt, ko giữ được lâu lắm. Sản phẩm tương đối ổn",3
89,tạm đc. mùi thơm nhưng ko lưu hương,3
90,Sản phẩm phù hợp với giá tiền. Thơm nhưng ko lưu giữ đk lâu.,3
91,thơm chỉ được nữa tiếng thôi,3
92,Mùi hương:hong có thơm,3
93,Thơm thoáng qua thôi chứ không phải thơm lâu,3
94,xịt vào vòng 15p là hết nghe,3
95,gửi hàng nhanh nhưng không biết là mùi thơm giữ lâu ko nữa,3
96,quá thơm mà còn rẻ nữa,3
97,đặt 2chai mà shop giao có 1 chai:( hơi thất vọng,3
98,mùi ko thơm,3
99,"mùi hơi nồng, nắp chai lỏng lẻo",3
100,không thơm lắm mùi hơi hắc 😢,3
101,nói zề hình thức thì nhìn có vẻ gọn gàng còn chất lượng sản phẩm(mùi hương)thơm nha mọi người với giá tiền đó thì có thể gọi là đáng tiền nha,3
102,mùi màu đên hơi sặc nồng màu vằng mùi nhạt nnfnf fbfnfnfnnfncncncncnfnfnc,3
103,ko nghĩ lọ bé thế.nói 50ml mà gửi lại 30 ml.bán hàng ko có tâ. còn mùi thì thơm lâu,3
104,Mùi hương:cũng ok,3
105,"Nuoc hoa luu huong nhu mot con gio ......, tien nao cua do thoi ...",3
106,"mùi không đc thơm xịt cỡ 2,3p là bay hết mùi",3
107,giao hàng bị vỡ một lọ. gói hàng không kĩ cho shop 3,3
108,cái mùi nó kì lắm như cái mùi dầu gội ít men ý nhưng được cái shop đống gói ok,3
109,"nuoc hoa mui j ki,thay danh gia la thom lam,mua ve thi ngui nhuc dau muon chet",3
110,mùi lưu hương ko lâu,3
111,"mùi cũng thơm , nhưng hơi nồng",3
112,áaaaaaaaaaaaaaaaaaaààaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaachuwa j đã bay mùi nhanh chóg,3
113,chai bé hơn so với hình ảnh mùi hương bình thường nói chung tầm giá này thì cũng không đòi hỏi được,3
114,ko thơm na,3
115,mùi hơi nồng,3
116,nước hoa khong giữ mùi lâu,3
117,cũng thơm,3
118,Dầu dỏm,3
119,tạm ổn,3
120,,3
121,,3
122,,3
123,,3
124,,3
125,,3
126,,3
127,,3
128,,3
129,.mùi thì nặng như ba tôi Sài ship thì ship vào buổi sáng dậy thấy mụ nội,3
130,bay mùi nhanh k nên mua,3
131,Tạm,3
132,"không đc lưu hương lâu lắm,chắc tiền nào của đấy thôi",3
133,Đáng tiền:,3
134,Mùi thơm nhưng k như mô tả,3
135,XỊT LÊN TẦM 10 PHÚT LÀ BAY HẾT LUÔN.,3
136,nước hoa giữ mùi k lâu,3
137,Đáng tiền：ổn Mùi hương：mùi hương ko được lâu Độ lưu hương：bình thương,3
138,thơm dễ chịu mà giữ huong không lâu,3
139,"Mùi hương:Riêng mùi thì mình thấy mùi này hơi đại trà, không có gì đặc sắc lắm. Còn lại tốt!",3
140,Mùi hương:bt,3
141,Mùi hương:mùi hương ok,3
142,Đáng tiền:,3
143,"huheo mùi oke nhưng mà nắp lỏng quá mik mới vừa mở hàng cái nắp liền rơi ra , mong khắc phục ạ 🥲",3
144,giáo hàng nhanh ok,3
145,mui hương thơm nhẹ .xứng đáng với giá tiên nào hết quay lại ủng shop tiếp,3
146,"mau bay mùi, vừa xịt xong chưa được 1phut hết sạch mùi.",3
147,Mùi hương:tạm đc,3
148,"nắp đậy lỏng , không giữ được mùi hương lâu",3
149,ko về đúng mùi,3
150,hang ko có mui gi het,3
151,Đáng tiền：,3
152,mùi nồng hong thơm mấy,3
153,"Theo mình thấy thì tiền nào của ấy thôi,mở ra xịt thử thấy hắc lắm ko đc thơm và mùi cũng nồng lắm",3
154,nói dày mà mỏng,3
155,,3
156,,3
157,,3
158,,3
159,,3
160,"hàng giao nhanh, đóng gói kỹ, dùng rất ok, nhân viên giao hàng thân thiện, tặng shoo 5 sao",3
161,"Giao hàng rât lâu tận 8ngày, cảm giac mua trong nươc nhưng nhận hàng thì như mua từ nươc ngoài",3
162,sản phẩm bị Trầy xước nhiều,3
163,chất lượng mẫu mã đẹp giá hộp lý lần sau ủng hộ tiếp,3
